,title,id,metal,mass,diameter,era,year,inscriptions,jpg,txt
94,Anonymous,VanHeesch_2_E,Copper,1.53,,AD,310.0,,VanHeesch_2_E.jpg,VanHeesch_2_E.txt
95,Anonymous,VanHeesch_2_H,Copper,1.8,,AD,310.0,,VanHeesch_2_H.jpg,VanHeesch_2_H.txt
96,Anonymous,VanHeesch_2_I,Copper,1.53,,AD,310.0,,VanHeesch_2_I.jpg,VanHeesch_2_I.txt
97,Anonymous,VanHeesch_2_Z,Copper,1.46,,AD,310.0,,VanHeesch_2_Z.jpg,VanHeesch_2_Z.txt
98,Anonymous,VanHeesch_2_Z_2,Copper,1.21,,AD,310.0,,VanHeesch_2_Z_2.jpg,VanHeesch_2_Z_2.txt
101,Anonymous,VanHeesch_5,Copper,1.93,,AD,312.0,,VanHeesch_5.jpg,VanHeesch_5.txt
102,Anonymous,VanHeesch_09b,Copper,0.96,,AD,312.0,,VanHeesch_09b.jpg,VanHeesch_09b.txt
103,Anonymous,Woytek_Metalla_IX,Copper,3.48,15.0,AD,0.0,,Woytek_Metalla_IX.jpg,Woytek_Metalla_IX.txt
104,Anonymous,Woytek_Metalla_XIII,Copper,2.69,15.0,AD,0.0,,Woytek_Metalla_XIII.jpg,Woytek_Metalla_XIII.txt
1,Anthemius and Euphemia,Hill_272_Becker,Gold,3.16,17.9,AD,467.0,['PP'],Hill_272_Becker.jpg,Hill_272_Becker.txt
25,Anthemius and Euphemia,RIC_2906,Gold,1.45,,AD,467.0,,RIC_2906.jpg,RIC_2906.txt
14,Antinous,_argos_Mionnet_S4_40,Copper,6.81,,AD,134.0,,_argos_Mionnet_S4_40.jpg,_argos_Mionnet_S4_40.txt
21,Antinous,_kios_Blum_Incert_2_var,Copper,36.42,,,,,_kios_Blum_Incert_2_var.jpg,_kios_Blum_Incert_2_var.txt
23,Antinous,_kios_RecGen_37,Copper,33.62,,AD,130.0,,_kios_RecGen_37.jpg,_kios_RecGen_37.txt
24,Antinous,_mantinea_Blum_07,Copper,12.19,27.0,AD,134.0,,_mantinea_Blum_07.jpg,_mantinea_Blum_07.txt
25,Antinous,_arcadia_Martinetti_2051,Copper,39.3,,AD,130.0,,_arcadia_Martinetti_2051.jpg,_arcadia_Martinetti_2051.txt
26,Antinous,_nicaea_Blum_1,Copper,38.07,,AD,130.0,,_nicaea_Blum_1.jpg,_nicaea_Blum_1.txt
